"uid","Intervention","Intervention Provider","Target Population","Target Population Location","Discipline","Research Stage","Outcome Measures"
"scopus-2-s2.0-85071897009","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85072267174","Open Science Framework","Unspecified","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Planning and design stage; Conduct stage; Reporting stage","Effect size estimation; Reporting quality"
"scopus-2-s2.0-85072803967","Research curriculum","Institution","Students","Unspecified","Biomedical and health sciences","Conduct stage","Reporting quality"
"scopus-2-s2.0-85073684883","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85074005691","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85074075358","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Africa; Asia; North America; Europe","Natural sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85074305758","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Natural sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85074355906","Centralised sharing platform","Institution","Researchers / Researcher Collaboration","Korea","Biomedical and health sciences","Conduct stage; Reporting stage","Data availability and re-use"
"scopus-2-s2.0-85074550610","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Canada","Biomedical and health sciences","Conduct stage; Reporting stage","Reporting quality"
"scopus-2-s2.0-85075533984","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Unspecified"
"scopus-2-s2.0-85076084771","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85076428017","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Reporting stage","Effect size estimation; Reporting bias; Publication bias"
"scopus-2-s2.0-85077060549","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","General public","United Kingdom; United States","Social sciences","Assessment","Reporting quality"
"scopus-2-s2.0-85077194174","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85078047184","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Planning and design stage; Conduct stage","Effect size estimation"
"scopus-2-s2.0-85078232482","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Biomedical and health sciences","Conduct stage","Data quality checks / feedback"
"scopus-2-s2.0-85078249630","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Engineering and technology","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85078904378","Experimental design","Institution","Students","Turkey","Social sciences","Conduct stage","Effect size estimation"
"scopus-2-s2.0-85078970341","Training community","Institution","Students","United States","Education","Conduct stage","Transparency of contributions"
"scopus-2-s2.0-85079492902","Open science infrastructure","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Europe; Non-European countries","Natural sciences; Engineering and technology","Planning and design stage; Conduct stage; Reporting stage","Data availability and re-use; Materials availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85080825571","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85083569003","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Social sciences","Conduct stage","Transparency of evaluation"
"scopus-2-s2.0-85083707810","Experimental design","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Agricultural and veterinary sciences","Planning and design stage; Conduct stage","Effect size estimation"
"scopus-2-s2.0-85083949527","Other reporting guidelines, checklists, or standards","Institution","Researchers / Researcher Collaboration","Netherlands","Biomedical and health sciences","Reporting stage","Reporting quality; Data availability and re-use"
"scopus-2-s2.0-85083965117","Other quality checks / feedback","Institution","Students","Canada","Engineering and technology","Conduct stage","Reporting quality"
"scopus-2-s2.0-85084321002","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage; Conduct stage; Reporting stage","Reporting quality"
"scopus-2-s2.0-85084409669","External validation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Assessment","Computational reproducibility"
"scopus-2-s2.0-85084961576","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85085202494","Other quality checks / feedback","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85085260963","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Natural sciences; Engineering and technology; Social sciences","Conduct stage","Data availability and re-use; Computational reproducibility"
"scopus-2-s2.0-85085470599","Workflow standardisation","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Computational reproducibility"
"scopus-2-s2.0-85085591603","Other reporting guidelines, checklists, or standards","Researchers / Researcher Collaboration","Community","United States","Social sciences","Outreach","Transparency of evaluation"
"scopus-2-s2.0-85086052027","Blockchain technology","Community organizations","Homeless population","United States","Biomedical and health sciences","Conduct stage","Data availability and re-use; Privacy and confidentiality"
"scopus-2-s2.0-85086164302","Statistical method","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation; Type-I error reduction; Type-II error reduction"
"scopus-2-s2.0-85086362108","Pre-registration","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Social sciences","Planning and design stage","Reporting quality; Type-I error reduction"
"scopus-2-s2.0-85086685825","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85086686304","Data sharing policy/guideline","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Conduct stage","Data availability and re-use"
"scopus-2-s2.0-85086690952","CONSORT guidelines","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Global","Biomedical and health sciences","Reporting stage","Reporting quality"
"scopus-2-s2.0-85086988196","Registry-based randomized controlled trials","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Unspecified","Biomedical and health sciences","Conduct stage","Effect size estimation"
