"uid","Target Population","Intervention Provider","Discipline","Intervention","Outcome Measures","Research Stage","Target Population Location"
"embase-606469044","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other","Reporting bias","Reporting stage","Unspecified"
"embase-606486162","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Registered reports","Computational reproducibility","Conduct stage","Unspecified"
"embase-606601387","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Global"
"embase-606770750","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Computational reproducibility","Conduct stage","Unspecified"
"embase-606861387","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Protocol registration","Reporting quality; Reporting bias","Reporting stage","Unspecified"
"embase-607059233","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Computational reproducibility","Reporting stage","Unspecified"
"embase-607102519","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","PRISMA guidelines; CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-607363331","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Europe"
"embase-607585924","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-607586077","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Reporting stage","North America; Europe; Asia; Africa"
"embase-607690837","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Biomedical and health sciences","Experimental design","Type I/II error reduction","Conduct stage","Unspecified"
"embase-607917442","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Type I/II error reduction; Computational reproducibility","Conduct stage","Unspecified"
"embase-608481336","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-608513199","Researchers / Researcher Collaboration","Institution","Biomedical and health sciences","Other quality checks / feedback","Reporting quality","Conduct stage; Reporting stage","United States"
"embase-608518612","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-608575309","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Pre-registration","Transparency of evaluation","Planning and design stage","Unspecified"
"embase-608843971","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Reporting stage","Unspecified"
"embase-608901038","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Social sciences","Pre-registration","Computational reproducibility","Conduct stage","Unspecified"
"embase-609031513","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality; Computational reproducibility","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"embase-609242813","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Registered reports","Computational reproducibility","Conduct stage","Unspecified"
"embase-609242814","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Registered reports","Computational reproducibility","Conduct stage","Unspecified"
"embase-609301981","Researchers / Researcher Collaboration","Other","Biomedical and health sciences","Data sharing policy/guideline","Data availability and re-use; Reporting quality","Planning and design stage; Conduct stage; Reporting stage","Unspecified"
"embase-610190324","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Trial registration; Protocol registration","Reporting quality; Reporting bias","Reporting stage","Unspecified"
"embase-610288866","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Unspecified"
"embase-610465118","Other","Researchers / Researcher Collaboration","Biomedical and health sciences","Other reporting guidelines, checklists, or standards","Reporting quality","Conduct stage; Reporting stage","Unspecified"
"embase-610934572","Institution","Government","Biomedical and health sciences","Reporting quality checks / feedback","Reporting quality","Reporting stage","Germany"
"embase-611182607","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Other","Computational reproducibility","Conduct stage","Unspecified"
"embase-611377965","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","Experimental design","Other; Other","Conduct stage","Unspecified"
"embase-611511165","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Natural sciences; Agricultural and veterinary sciences","Statistical method","Type I/II error reduction; Computational reproducibility","Conduct stage","Unspecified"
"embase-611581916","Researchers / Researcher Collaboration","Organisation","Biomedical and health sciences","Open access publication; Centralised sharing platform","Data availability and re-use; Materials availability and re-use","Conduct stage; Reporting stage","Global"
"embase-611584982","Researchers / Researcher Collaboration","Publisher / journal","Biomedical and health sciences","Reporting quality checks / feedback","Reporting quality","Reporting stage","Unspecified"
"embase-612003274","Researchers / Researcher Collaboration","Researchers / Researcher Collaboration","Biomedical and health sciences","CONSORT guidelines","Reporting quality","Reporting stage","Iran"
